id;nom;nom_chaine;lien_chaine
1;Nord-Pas-de-Calais Multi-lateral;Computers virtual;Dominique monitor Aquitaine
2;navigating;b;salmon Pants
3;UIC-Franc;productivity b;mobile
4;Île-de-France Credit;Music Handcrafted;Analyste of Charlemagne
5;Auto;Agent capability b;Cap-Vert AGP
6;applications;Specialiste Plastic;innovative Loan
7;withdrawal Cambridgeshire;driver;c Technicien
8;user-facing bandwidth;reboot methodologies line;tan
9;Nord-Pas-de-Calais networks;Bedfordshire Chicken bandwidth;toolset
10;Handcrafted viral invoice;Borders overriding Auvergne;Berkshire alarm Avon
